id,short_name,funnel_name,category,lead_unit,funnel_role,ticket_min_eur,ticket_max_eur,cpl_min_usd,cpl_max_usd,cac_min_usd,cac_max_usd,lead_minutes_min,lead_minutes_max,conv_pct_min,conv_pct_max,call_hours_min,call_hours_max,total_hours_per_sale_min,total_hours_per_sale_max,setup_hours_min,setup_hours_max,ramp_weeks,ramp_floor_pct,saturation_cap_per_month,confidence,requires_paid_budget,requires_existing_audience,requires_content_capability,requires_long_form_content,fits_low_ticket,fits_mid_ticket,fits_high_ticket,works_for_t2c_launch,is_counter_example,is_new,is_activation_only,is_multiplier,req_video,req_podcast,req_prospection,req_writing,min_pub_budget_eur,min_hours_week,fits_subscription,fits_programme,sources,notes,steps
1,Meta-WhatsApp,Meta Lead Ads → WhatsApp,paid,form fill,full,500,3000,15,35,150,700,5,10,5,10,1,1.5,1.83,4.83,4,12,4,25,50,high,True,False,False,False,False,True,True,True,False,False,False,False,non,non,non,non,50,3,False,True,SuperAds/LeadSync/Sotros/T.S.,"T.S. case: €100–150 ad spend → €2700+/mo, 21.7x ROAS. Speed-to-lead <5 min = 9–21x boost conv. Meta Education CPL: $13.83–$23.87 (2025), médian $19.27 — 54% sous la moyenne globale $41.53 (SuperAds).","Définir l'avatar client (plateforme, niveau, pays cible) | Créer un lead magnet simple (checklist PDF ou mini-guide 1 page) | Créer le formulaire Meta Lead Ads dans Ads Manager | Configurer WhatsApp Business + message de bienvenue automatique | Connecter formulaire → WhatsApp en <5 min (LeadSync ou Zapier) | Rédiger la séquence WhatsApp : accueil → qualification → invitation appel (3–5 messages) | Lancer la campagne à €5–10/jour (audience : profs de langue ou parents) | Analyser le CPL après 7 jours (objectif <€30) et itérer sur le visuel | Appel de découverte → qualifier → proposer l'offre"
2,Meta-Webinar,Meta Ads → Webinar → Call,paid,webinar registration,full,800,5000,10,25,167,1250,6,12,2,6,1,1.5,2.67,11.5,20,45,6,20,30,high,True,False,True,True,False,True,True,True,False,False,False,False,oui,non,non,peu,300,6,False,True,Porterfield/SuperAds/CommuniPass,Porterfield: 2–6% cold; 10–15% warm list. CommuniPass: challenge graduates → call: 18–30% vs 2–4% cold calls.,"Choisir le thème : problème précis + promesse mesurable en titre | Créer les slides (60–90 min) : problème → méthode → 3 résultats → offre | Configurer la page d'inscription (Systeme.io, Kajabi…) | Rédiger la séquence email de rappel (J-2, J-1, J0 matin) | Créer la campagne Meta Ads vers la page d'inscription | Diffuser le webinaire en live → pitcher l'offre en fin de session | Envoyer le replay aux inscrits avec CTA 'appel de découverte' | Relancer les non-acheteurs à J+3 et J+7 (email + WhatsApp) | Optimiser : taux d'inscription >30%, taux de présence >40%"
3,YouTube-Webinar,YouTube Ads → Webinar → Call,paid,webinar registration,full,800,5000,10,25,125,833,6,12,3,8,1,1.5,2.25,8.17,20,45,8,15,30,medium,True,False,True,True,False,True,True,True,False,False,False,False,oui,non,non,peu,200,6,False,True,AmpiFire/Porterfield/PPC.land,"Funnel préféré Tom pour T2C. CPL $10–20, CPV $0.02–$0.03. 2.3x ROAS gap YT vs Meta (PPC.land 2026). Intent supérieur à Meta. Ramp ajusté 8 sem (vs 6 annoncé) — courbe apprentissage créative YT + délai algo.","Ouvrir Google Ads et lier à la chaîne YouTube | Définir les audiences cibles (in-market, mots-clés, similar to…) | Filmer la vidéo pub : hook 5 sec + problème + preuve sociale + CTA (60–120 sec) | Créer la page d'inscription webinaire (même contenu que Meta-Webinar) | Configurer le pixel de conversion sur confirmation d'inscription | Lancer avec €10–20/jour (format TrueView for Action) | Tester 2–3 hooks vidéo différents sur 2 semaines | Dérouler le webinaire et closer les participants en fin de session | Activer le remarketing vidéo pour les vues >50% de la pub"
4,Meta-VSL,Meta Ads → VSL → Call,paid,call booked post-VSL,full,800,5000,20,60,400,2000,3,6,3,5,1,1.5,2.0,4.83,15,35,5,25,25,medium,True,False,True,True,False,True,True,True,False,False,False,False,oui,non,non,peu,300,5,False,True,Brunson/CommuniPass,Brunson Perfect Webinar/VSL. Application-to-purchase 30–55% (CommuniPass) sur leads pré-filtrés par VSL.,"Écrire le script VSL (15–25 min) : histoire → problème → solution → offre → urgence | Filmer et monter la vidéo (ou screencast + voix) | Héberger la VSL sur une page dédiée (Wistia, Vimeo — sans skip) | Ajouter le formulaire de candidature sous la vidéo (visible après 10 min) | Créer la campagne Meta Ads vers la page VSL | Qualifier les candidats via le formulaire avant d'accorder l'appel | Mener les appels de closing avec les candidats qualifiés | Optimiser : taux de complétion vidéo >50% — sinon retravailler le hook"
5,Magnet-Email,"Lead Magnet Ciblé → Séquence Email → Call (diagnostic, template, mini-guide)",paid,email opt-in,full,500,3000,5,15,83,750,3,9,2,6,1,1.5,1.83,9.0,8,20,6,20,40,high,True,False,True,False,False,True,True,True,False,False,False,False,non,non,non,peu,100,4,False,True,Porterfield/SuperAds,"Funnel actuel Tom (10 mai 2026). '10 cours, 10€, 10 étudiants' + Diagnostic T2C. ~22 opt-ins/mo via AUL. PRÉCISION — lead magnets efficaces pour profs de langue : (a) diagnostic personnalisé ('Quel est ton vrai niveau ?'), (b) template actionnable ('Script conversation B2'), (c) mini-guide ciblé ('5 erreurs à éviter sur iTalki'). Éviter les e-books génériques (<5% opt-in). Diagnostic interactif = opt-in 15–25%.","Créer le lead magnet (PDF, template, checklist) en lien direct avec l'offre | Créer la page de capture (opt-in → téléchargement immédiat) | Rédiger la séquence email de bienvenue : 5–7 emails en 10–14 jours | Email 5 ou 7 : invitation à réserver un appel de découverte | Connecter à un outil emailing (Systeme.io, Brevo, ActiveCampaign) | Créer la campagne Meta Ads vers la page de capture | Suivre le CPL et le taux de conversion email → appel | A/B tester les sujets d'emails pour améliorer le taux d'ouverture"
6,Search-Call,Search Ads → LP → Call,paid,call booked from LP,full,800,5000,50,120,417,2400,2,5,5,12,1,1.5,1.28,3.17,6,15,4,30,25,high,True,False,False,False,False,False,True,True,False,False,False,False,non,non,non,non,500,3,False,True,WordStream 2025,"WordStream 2025 Education: CPL $90 moyen (+25.87% YoY), CPC $6.23, conv 11.38%. Haute intention, coût élevé.","Identifier les mots-clés à haute intention ('cours de français professionnel', 'professeur anglais en ligne') | Créer le compte Google Ads | Rédiger 3–5 annonces texte par groupe (headline : résultat + preuve) | Créer la landing page : problème → solution → preuves → réservation d'appel | Intégrer Calendly ou Tidycal sur la LP | Configurer les extensions d'annonce (appel direct, liens annexes) | Lancer à €15–25/jour et monitorer le Quality Score | Optimiser sur le taux de conversion LP → RDV (objectif >5%)"
7,FB-Groups,FB Groups — Méthode Thomas Suengas,organic,call booked,full,200,500,0,0,0,0,90,180,50,90,0.17,0.5,1.84,6.5,2,6,2,40,10,high,False,False,False,False,True,True,False,False,False,False,False,False,non,non,oui,non,0,5,True,True,T.Su. entretien interne mai 2026,Verbatim Thomas: 6 ventes/1.5 mois/15h = 2.5h/vente. Pack €400. 30min–1h/jour. ROI €160/h. Cap ticket ~€600. NOT applicable T2C €1500+.,"Identifier 5–10 groupes Facebook actifs avec l'audience cible | Rejoindre et observer 1 semaine : repérer les frustrations récurrentes | Répondre aux questions existantes avec valeur (sans lien, sans pitch) | Poster du contenu court et utile 1 fois/jour (30 min max) | Identifier les membres qui posent souvent des questions ou commentent | Envoyer un DM personnalisé basé sur leur commentaire (pas de pitch direct) | Qualifier en conversation DM → proposer un appel court de 15–20 min | Mener l'appel → proposer l'offre si fit détecté"
8,Podcast,Podcast Guesting,organic,email opt-in via podcast,traffic,800,5000,0,0,0,0,90,240,8,20,1,1.5,5.63,31.5,5,15,20,5,8,medium,False,False,False,False,False,True,True,True,False,False,False,False,non,oui,peu,non,0,3,False,True,Prospeo/ExpertBookers 2026/Omniscient,"Range 8–20% (Prospeo 10% base; ExpertBookers: 20–40% shows premium). Ramp réel 20 sem : pitcher les shows = 4–8 sem, être booké = 4–8 sem, délai publication = 2–4 sem, puis audience agit. Cap mensuel 8 = plafond réaliste pour un prof solo. Niche show > généraliste.","Préparer le 'pitch invité' : expertise + angle unique + valeur pour l'audience | Rédiger un one-pager de présentation (bio, 3 sujets proposés) | Identifier 20–30 podcasts cibles (Listen Notes, Podchaser, Spotify) | Pitcher par email personnalisé (2 paragraphes max, focus sur leur audience) | Préparer 3–5 stories/exemples concrets pour l'enregistrement | Choisir un lead magnet simple à mentionner en fin d'épisode | Enregistrer et promouvoir l'épisode via ses propres canaux | Relancer les hôtes après 6–8 semaines pour un deuxième passage"
9,IG-Reels,IG Reels Boost + DM,hybrid,DM thread started,full,100,1000,2,8,13,114,15,30,7,15,0.5,1.5,2.17,8.64,12,30,4,20,30,medium,True,False,True,False,True,True,False,False,False,False,False,False,oui,non,non,non,50,5,True,False,CommuniPass/CreatorFlow/Napolify,"9-Reel Test Playbook. Boost $10–15/day. DM triggered: 70–90% open, 25–40% reply. Napolify: <1 min reply = +391% conv. Cap ticket €1000.","Identifier 3 formats de Reels performants dans la niche | Filmer 9 Reels avec des hooks différents (test format, angle, CTA) | Publier un Reel par semaine pendant 9 semaines | Identifier le Reel avec le meilleur engagement (vues, partages, sauvegardes) | Booster le Reel gagnant à €10–15/jour pendant 5–7 jours | Activer la réponse DM sur les commentaires avec mot-clé (ManyChat) | Qualifier les conversations DM en <1 minute | Proposer l'appel de découverte aux profils qualifiés"
10,YT-Organic,YouTube Organique → Email → Call,organic,email opt-in from YT viewer,traffic,500,3000,0,0,0,0,30,150,2,6,1,1.5,9.33,60.0,15,35,8,8,15,medium,False,True,True,True,False,True,True,True,False,False,False,False,oui,non,non,non,0,8,False,True,AUL data/Jérémy FLE/AmpiFire/VidOrange,"Tom AUL: 10k subs, CTR 5.23%. Jérémy FLE 0.55x = 11–17 calls/mo. 17 mois sans vidéo nov 2024→avr 2026. Max corrigé: 60h (régime stable). VidOrange: opt-in rate 0.5–2%/vue tutoriels.","Définir les 5–8 sujets à haute intention de recherche (TubeBuddy, KeywordTool.io) | Créer un calendrier éditorial : 1–2 vidéos/semaine | Optimiser chaque vidéo : titre (CTR >4%), miniature, description + lien lead magnet | Créer la page de capture reliée au lead magnet mentionné en vidéo | Ajouter un CTA en fin de vidéo et en description → réserver un appel | Maintenir la régularité 8–12 semaines (critique pour l'algorithme) | Analyser CTR, watch time, taux d'opt-in par vidéo | Doubler les formats qui génèrent le plus d'opt-ins"
